대여소 번호,공원유무,유동인구,조사지점거리,지하철거리,대여소 이름
361,0,6744,84.25567994,0.03,동묘앞역 1번출구 뒤
812,0,10356,84.55618309,0.293,용산전쟁기념관
1770,0,8616,84.77707743,1.122,강북성복교회 주변
484,0,6060,88.62901552,0.276,도동삼거리
1322,0,7392,89.28736328,0.469,래미안라센트아파트 103동 앞
800,1,97248,89.73691352,0.957,목월공원 앞
320,0,54090,90.11364403,0.033,을지로입구역 4번출구 앞
3500,0,26370,91.15599303,0.029,군자역2번출구
312,0,46908,91.23841449,0.027,시청역 1번출구 뒤
1569,0,51195,92.96808012,0.05,수유역2번출구
464,0,828,93.04088434,1.068,삼청동 골목
1552,0,51195,94.38511148,0.132,강북구청사거리(던킨도너츠 앞)
370,0,91023,95.05329527,0.066,시청역(2호선) 9번출구 뒤
536,0,38058,95.17243067,0.019,행당역 2번출구 앞
1729,0,9681,95.27150376,0.439,파리바게트앞
1531,0,59070,95.80628833,0.012,미아사거리 1번 출구
1513,0,7563,96.07276242,0.247,강북구청 뒷편
1385,0,22305,96.09334591,0.027,성신여대입구역 3번출구 앞
1401,0,9870,96.18177698,0.34,극동늘푸른아파트
3533,0,86214,96.76287785,0.108,건대입구역 사거리(롯데백화점)
3506,0,4155,97.12912594,0.889,영동대교 북단
601,0,33093,97.34238254,0.22,용신동주민센터
397,0,71025,97.43622561,0.336,종묘공영주차장 건너편
533,0,26436,97.47731451,0.43,우리은행 금호동 지점 앞
567,0,22692,97.88049615,0.015,성수역 2번출구 앞
849,0,12141,98.1354926,0.029, 삼각지 자이아파트
1407,0,61287,98.57884324,0.019,먹골역 1번출구 뒤
1318,0,35460,99.89350818,0.01,길음역 3번출구 뒤
479,0,20550,100.9438886,0.027,동대입구역 3번 출구
831,0,58980,100.96539,0.224,이태원관광특구입구
1741,0,9450,101.3684995,0.345,제일강산수산입구
354,0,16659,101.410523,0.465,포르투갈 대사관 앞
1358,0,32607,101.7066741,0.346,정릉도서관 앞
