유동인구(일주일),지하철거리(m),공원유무,합(년),대여,반납,,,유동인구(일주일)/200000*255,지하철 거리 /3000*255,0or255,5000씩 나눠서 분류
13548,426,0,65921,32690,33231,,,,,,
13548,426,0,65921,32690,33231,,,,,,
27414,172,0,42296,23621,18675,,,,,,
6579,890,0,46823,22972,23851,,,,,,
15678,214,0,22247,11138,11109,,,,,,
25461,22,0,54010,26725,27285,,,,,,
86214,333,0,72368,35910,36458,,,,,,
8163,834,0,2844,1558,1286,,,,,,
33093,220,0,13785,6867,6918,,,,,,
13080,1310,0,63009,28423,34586,,,,,,
12903,537,1,14154,6767,7387,,,,,,
9639,50,0,19705,9718,9987,,,,,,
20064,1952,0,12441,5838,6603,,,,,,
21675,931,0,5671,2726,2945,,,,,,
9285,839,0,32174,16592,15582,,,,,,
6522,669,0,11724,6046,5678,,,,,,
4437,422,0,29081,14377,14704,,,,,,
14922,68,0,34467,17023,17444,,,,,,
3516,220,0,35562,18764,16798,,,,,,
6849,218,0,18246,9238,9008,,,,,,
21675,899,0,5146,3940,1206,,,,,,
10035,1191,0,18831,8928,9903,,,,,,
10035,848,0,6563,3626,2937,,,,,,
10035,1133,0,24500,11094,13406,,,,,,
21675,809,0,39588,23783,15805,,,,,,
4023,724,0,27834,12670,15164,,,,,,
12903,513,0,30043,14140,15903,,,,,,
3411,2054,0,26446,12645,13801,,,,,,
33093,277,0,30353,15153,15200,,,,,,
59670,62,0,41018,20502,20516,,,,,,
36747,85,0,35052,16821,18231,,,,,,
63669,322,0,51223,25479,25744,,,,,,
7596,667,0,14732,6912,7820,,,,,,
7188,684,0,27641,15081,12560,,,,,,
36747,261,0,13492,6505,6987,,,,,,
1353,60,0,33774,16752,17022,,,,,,
13548,179,0,25891,12995,12896,,,,,,
12936,70,0,50892,24046,26846,,,,,,
8163,640,0,42681,21597,21084,,,,,,
8976,483,1,10249,5445,4804,,,,,,
8910,602,0,19591,9406,10185,,,,,,
